Name,age,gender,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score,Tenure (months),age2
Aletha Constance,35,M,City,Silver Membership,Not Specified,Gift Vouchers/Coupons,Not Specified,Fiber_Optic,4,1178.74653,14398.86,25,735.85,Yes,Yes,Yes,Unsolved,Poor Customer Service,3,8,30-39
Bulah Stoller,31,F,City,Gold Membership,Not Specified,Gift Vouchers/Coupons,Desktop,Fiber_Optic,16,139.74,37932.87,17,1231.058128,No,Yes,No,Not Applicable,No reason specified,3,29,30-39
Lorie Devenport,41,M,Town,No Membership,No,Without Offers,Desktop,Fiber_Optic,15,338.68,18345.2,27,686.36,No,Yes,Yes,Solved in Follow-up,No reason specified,4,2,40-49
Frances Glazer,22,M,Village,Basic Membership,Not Specified,Gift Vouchers/Coupons,Desktop,Mobile_Data,13,44.78,9066.64,7,653.67,Yes,No,No,Not Applicable,Poor Customer Service,5,29,20-29
Danica Bay,11,M,Village,Basic Membership,No,Gift Vouchers/Coupons,Not Specified,Fiber_Optic,8,30.97,44637.52,19,529.99,Yes,No,No,Not Applicable,Poor Customer Service,5,34,Oct-19
Raina Voisine,58,M,City,Basic Membership,Yes,Without Offers,Desktop,Fiber_Optic,10,34.82,34430.65,20,868.0103895,Yes,No,No,Not Applicable,No reason specified,5,22,50-59
Damaris Taul,24,M,City,Gold Membership,Not Specified,Credit/Debit Card Offers,Smartphone,Wi-Fi,13,52.1,2090.12,23,80.1595195,No,Yes,No,Not Applicable,Poor Customer Service,3,27,20-29
Jeannette Raminez,34,M,Town,Silver Membership,Not Specified,Credit/Debit Card Offers,Desktop,Mobile_Data,12,621.64,31328.91,20,668.36,No,Yes,Yes,Solved,Poor Product Quality,4,4,30-39
Illa Wierenga,43,M,City,No Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,18,71.07,23827.63,24,631.12,No,Yes,No,Not Applicable,Poor Website,4,0,40-49
Rocky Kellen,29,M,City,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,12,127.69,25225.24,8,673.19,No,Yes,No,Not Applicable,No reason specified,4,34,20-29
Mason Braithwaite,26,M,City,Gold Membership,No,Gift Vouchers/Coupons,Both,Mobile_Data,16,223.27,42167.41,15,835.52,No,Yes,No,Not Applicable,User Friendly Website,1,11,20-29
Andra Zinck,18,F,City,Basic Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,0,33.48,37212.84,9,698.38,Yes,No,No,Not Applicable,No reason specified,4,14,Oct-19
Sidney Frandsen,30,F,Town,Silver Membership,Not Specified,Without Offers,Not Specified,Wi-Fi,20,152.55,32676.64,15,665.12,No,Yes,No,Not Applicable,Poor Website,4,13,30-39
Mickey Looney,24,M,Town,No Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,17,235.45,14834.57,22,358.0773143,Yes,Yes,Yes,Solved,No reason specified,5,23,20-29
Pamula Winton,45,M,City,Platinum Membership,Not Specified,Credit/Debit Card Offers,Both,Fiber_Optic,5,770.01,22041.23,26,387.8007052,No,Yes,Yes,Solved,Too many ads,3,18,40-49
Cuc Imai,46,F,City,Basic Membership,Yes,Gift Vouchers/Coupons,Not Specified,Fiber_Optic,0,107.98,21475.77,20,578.87,Yes,No,Yes,Solved in Follow-up,Too many ads,5,8,40-49
Fumiko Hanline,37,M,Town,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,12,70.62,46832.84,14,660.19,Yes,No,No,Not Applicable,No reason specified,4,19,30-39
Caroline Kollar,46,M,Village,Platinum Membership,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,5,97.56,94022.24,9,787.66,Yes,No,Yes,Solved in Follow-up,Reasonable Price,2,22,40-49
Zoraida Munsterman,59,M,Town,Platinum Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,12,93.26,40699.48,18,780.74,Yes,No,No,Not Applicable,No reason specified,3,22,50-59
Nolan Costillo,38,F,Town,Platinum Membership,No,Without Offers,Smartphone,Wi-Fi,24,230.49,47440.28,8,703.14,Yes,Yes,Yes,Unsolved,Poor Website,3,5,30-39
Audry Lemons,15,F,City,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,20,31.44,18919.39,29,698.71,Yes,No,No,Not Applicable,Poor Customer Service,4,26,Oct-19
Zoe Turberville,50,F,City,Basic Membership,No,Without Offers,Not Specified,Mobile_Data,12,307.63,9052.43,27,676.64,Yes,Yes,Yes,No Information Available,Too many ads,4,22,50-59
Arielle Licht,45,M,City,Basic Membership,Yes,Without Offers,Desktop,Wi-Fi,15,166.24,16552.72,29,526.36,Yes,No,Yes,Unsolved,Poor Product Quality,5,26,40-49
Cuc Arviso,27,M,City,Silver Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,0,118.38,33750.5,20,713.2,No,Yes,Yes,Solved,No reason specified,3,21,20-29
Jani Biederman,18,M,Town,No Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,0,517.14,49379.48,20,-156.4083453,No,Yes,Yes,Unsolved,Poor Customer Service,4,30,Oct-19
Annelle Burger,14,F,City,Silver Membership,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,4,88.63,3120.03,11,385.6755761,No,Yes,Yes,Unsolved,Too many ads,3,13,Oct-19
Kenny Fripp,40,F,City,Gold Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,15,186.36,49459.14,15,788.8,No,Yes,No,Not Applicable,Too many ads,3,18,40-49
Leeanne Hofer,58,M,City,Platinum Membership,Not Specified,Credit/Debit Card Offers,Desktop,Mobile_Data,19,31.51,2185.41,6,790.37,Yes,No,Yes,Solved in Follow-up,Poor Website,3,23,50-59
Karlyn Shoup,56,M,Village,No Membership,Yes,Without Offers,Smartphone,Fiber_Optic,15,522.91,29772.23,12,627.87,No,Yes,Yes,Solved in Follow-up,Too many ads,5,6,50-59
Selena Lecompte,39,M,Village,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,2,31.77,44478.1,8,796.3,No,Yes,No,Not Applicable,Poor Website,3,18,30-39
Verna Keo,41,M,Town,Platinum Membership,Yes,Gift Vouchers/Coupons,Both,Fiber_Optic,16,545.21,49528.15,15,704.08,Yes,Yes,Yes,Solved,Poor Product Quality,3,17,40-49
Crista Pio,14,F,Town,Silver Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,10,394.27,35562.42,29,999.5304398,Yes,No,Yes,Unsolved,Poor Website,3,14,Oct-19
Lawerence Handley,30,M,City,Platinum Membership,Not Specified,Gift Vouchers/Coupons,Desktop,Mobile_Data,8,950.91,7053.74,9,754.79,No,Yes,Yes,Solved in Follow-up,Products always in Stock,2,8,30-39
Jong Matteo,28,F,Town,Premium Membership,Not Specified,Gift Vouchers/Coupons,Smartphone,Mobile_Data,8,898.06,30402.91,19,1428.554145,Yes,Yes,Yes,Unsolved,Poor Website,3,4,20-29
Danny Files,21,F,Town,Platinum Membership,Yes,Credit/Debit Card Offers,Both,Wi-Fi,20,726.79,40012.53,27,744.72,No,Yes,Yes,Unsolved,Poor Product Quality,3,28,20-29
Adolfo Biffle,42,F,Town,No Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,14,92.24,23028.9,19,646.22,Yes,No,No,Not Applicable,Poor Product Quality,4,8,40-49
Sadie Deford,50,F,Village,No Membership,No,Without Offers,Desktop,Mobile_Data,8,116.52,47903.1,16,590.13,No,Yes,No,Not Applicable,Too many ads,5,12,50-59
Gricelda Browder,64,M,City,No Membership,Not Specified,Credit/Debit Card Offers,Smartphone,Mobile_Data,4,636.7,4474.58,9,521.06,Yes,No,No,Not Applicable,Too many ads,5,13,60-69
Adolfo Rubalcaba,34,M,Town,Premium Membership,Yes,Without Offers,Smartphone,Wi-Fi,25,212.59,2928.82,17,704.05,No,Yes,No,Not Applicable,No reason specified,3,22,30-39
Regenia Dorn,20,F,Town,No Membership,No,Gift Vouchers/Coupons,Both,Fiber_Optic,5,495.58,46323.58,8,603.3,No,Yes,No,Not Applicable,Too many ads,5,11,20-29
Nathalie Luera,40,F,Village,Silver Membership,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,11,436.77,5313.09,0,714.7,Yes,No,Yes,Solved,No reason specified,3,29,40-49
Damaris Macrae,59,M,City,Gold Membership,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,15,137.93,33753.73,13,727.5,No,Yes,No,Not Applicable,No reason specified,3,0,50-59
Francie Bing,49,M,Town,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,14,192.93,17909.84,22,609.77,No,Yes,No,Not Applicable,Poor Website,4,7,40-49
Jocelyn Richart,12,M,Village,Basic Membership,Yes,Gift Vouchers/Coupons,Not Specified,Mobile_Data,13,916.564527,14799.63,21,1136.008424,No,Yes,Yes,Solved in Follow-up,Poor Website,5,24,Oct-19
Mickey Albertini,53,F,Town,No Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,7,58.67,32919.34,8,712.93,Yes,No,Yes,Solved,Poor Customer Service,4,16,50-59
Lenita Bemis,16,F,Town,Premium Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,12,127.22,20637.7,26,704.84,No,Yes,No,Not Applicable,Poor Product Quality,3,0,Oct-19
Blossom Mullenax,27,F,City,Silver Membership,Yes,Credit/Debit Card Offers,Not Specified,Wi-Fi,10,216.54,20580.57,27,762.25,Yes,No,Yes,Unsolved,Poor Product Quality,3,17,20-29
Regenia Reagle,28,F,Town,No Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,7,55.37,39808.31,8,644.93,Yes,No,Yes,No Information Available,Poor Customer Service,5,5,20-29
Mason Scull,59,F,City,Platinum Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,19,185.43,35357.6,15,797.44,No,Yes,No,Not Applicable,Reasonable Price,2,19,50-59
Gilda Litz,21,M,City,Silver Membership,No,Without Offers,Not Specified,Fiber_Optic,13,436.56,14574.74,17,745.04,No,Yes,No,Not Applicable,Poor Product Quality,3,14,20-29
Noelle Osby,12,F,Town,Basic Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,24,31.19,2837.4,21,343.4683138,Yes,No,Yes,No Information Available,Too many ads,5,0,Oct-19
Sidney Kirsch,36,M,Village,No Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,17,86.13,40197.24,8,586.7,Yes,No,No,Not Applicable,No reason specified,5,3,30-39
Grady Augusta,49,M,Village,Silver Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,14,98.25,10672.23,7,715.14,Yes,No,No,Not Applicable,Poor Customer Service,3,8,40-49
Joanna Farner,27,M,City,Silver Membership,No,Without Offers,Smartphone,Wi-Fi,12,75.81,21523.26,9,752.12,No,Yes,Yes,No Information Available,No reason specified,3,13,20-29
Mervin Lone,62,F,City,Basic Membership,No,Without Offers,Desktop,Mobile_Data,20,307.52,33931.64,18,583.54,Yes,No,No,Not Applicable,Poor Product Quality,5,34,60-69
Riley Gordillo,46,F,Village,Basic Membership,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,3,396.86,47975.78,15,56.96994099,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,5,14,40-49
Necole Falgoust,50,F,City,Platinum Membership,Not Specified,Without Offers,Desktop,Fiber_Optic,16,131.95,84752.51,17,805.49,No,Yes,Yes,Unsolved,Products always in Stock,1,2,50-59
Shaina Zoller,42,M,Village,No Membership,No,Without Offers,Smartphone,Fiber_Optic,18,73.9,11857.98,25,632.4,Yes,No,No,Not Applicable,No reason specified,4,21,40-49
Candy Honea,56,M,Town,Basic Membership,Yes,Gift Vouchers/Coupons,Not Specified,Mobile_Data,12,49.12,13708.47,5,621.61,No,Yes,Yes,Solved in Follow-up,Poor Website,5,3,50-59
Ned Canup,40,M,City,No Membership,Yes,Without Offers,Not Specified,Mobile_Data,13,914.49,33208.92,26,595.13,Yes,Yes,Yes,Solved,Poor Website,5,12,40-49
Lois Reynosa,29,M,City,Gold Membership,No,Without Offers,Smartphone,Wi-Fi,10,369.32,8161.23,8,737.54,Yes,No,No,Not Applicable,Poor Customer Service,3,22,20-29
Cinda Pitcock,28,M,Town,Gold Membership,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,8,619.94,44678.54,47.53562904,629.54,Yes,No,Yes,Unsolved,No reason specified,4,7,20-29
Aletha Reynosa,21,M,Town,Basic Membership,Yes,Without Offers,Desktop,Mobile_Data,0,812.6,23142.51,22,674.43,Yes,No,Yes,Solved in Follow-up,Poor Product Quality,5,35,20-29
Traci Schreiber,37,M,Town,No Membership,Yes,Without Offers,Desktop,Mobile_Data,12,65.02,25373.52,5,696.8,No,Yes,No,Not Applicable,No reason specified,5,32,30-39
Lawerence Hammill,19,F,Town,Basic Membership,Not Specified,Gift Vouchers/Coupons,Desktop,Wi-Fi,11,73.44,22949.15,7,238.6672655,Yes,No,No,Not Applicable,No reason specified,5,28,Oct-19
Marina Klopfer,12,F,Town,Platinum Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,15,33.08,12713.73,21,787.03,Yes,No,Yes,Solved,Poor Customer Service,3,25,Oct-19
Ilda Volkmann,38,M,Town,Platinum Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,14,51.11,32270.05,0,775.25,No,Yes,No,Not Applicable,Poor Website,3,22,30-39
Cyrus Tiller,51,F,Town,Silver Membership,No,Without Offers,Not Specified,Wi-Fi,10,462.21,31115.07,13,756.91,No,Yes,No,Not Applicable,Poor Product Quality,3,30,50-59
Stefany Roepke,43,M,Town,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,4,34.82,9433.39,12,710.42,Yes,No,Yes,Solved in Follow-up,Too many ads,3,19,40-49
Su Peele,37,F,Town,Gold Membership,No,Without Offers,Desktop,Mobile_Data,18,184.3,28891.28,28,640.53,Yes,No,Yes,Unsolved,Poor Website,4,11,30-39
Palma Linen,48,F,City,Platinum Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,10,112.98,2878.31,11,771.3,No,Yes,Yes,Unsolved,Too many ads,3,24,40-49
Fanny Hartson,55,F,City,Premium Membership,No,Gift Vouchers/Coupons,Both,Fiber_Optic,14,465.89,17122.55,8,215.717409,Yes,No,No,Not Applicable,Poor Customer Service,3,31,50-59
Alva Luther,57,M,Town,Silver Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,3,229.59,56518.43,16,769.34,No,Yes,Yes,No Information Available,Quality Customer Care,2,34,50-59
Londa Dewar,23,M,Town,Premium Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,12,1081.930133,16567.76,13,707.23,Yes,No,No,Not Applicable,Poor Website,3,2,20-29
Marylee Leedy,14,F,City,Premium Membership,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,19,30.46,61455.37,9,755.43,No,Yes,Yes,Solved in Follow-up,Products always in Stock,2,34,Oct-19
Anisha Eriksen,38,F,City,Silver Membership,Not Specified,Without Offers,Smartphone,Wi-Fi,16,124.8,42728.02,20,622.11,No,Yes,No,Not Applicable,Too many ads,4,10,30-39
Horacio Markow,34,F,Town,Silver Membership,No,Gift Vouchers/Coupons,Both,Wi-Fi,4,389.61,71004.02,1,762.2,Yes,No,No,Not Applicable,Products always in Stock,2,23,30-39
Guy Schacherer,30,M,City,Silver Membership,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,8,504.84,20518.45,5,661.1,Yes,No,Yes,Solved,Too many ads,4,28,30-39
Jonathon Heindel,57,F,Village,No Membership,Not Specified,Credit/Debit Card Offers,Smartphone,Mobile_Data,15,30.33,20494.38,5,606.55,Yes,No,No,Not Applicable,No reason specified,4,34,50-59
Sharita Keyes,14,F,City,No Membership,Yes,Without Offers,Not Specified,Mobile_Data,12,297.58,45204.97,8,912.5970618,No,Yes,No,Not Applicable,Poor Product Quality,5,31,Oct-19
Albertina Tann,38,M,Town,Platinum Membership,No,Without Offers,Both,Wi-Fi,21,309.14,12261.92,19,716.36,No,Yes,No,Not Applicable,Poor Product Quality,3,8,30-39
Lizette Pitcock,14,M,Town,Basic Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13,132.68,6563.28,24,580.66,Yes,No,No,Not Applicable,Poor Product Quality,5,25,Oct-19
Candy Lebsock,57,M,Town,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,16,33.09,36591.43,25,693.92,Yes,No,Yes,No Information Available,No reason specified,4,13,50-59
Krystin Abe,10,F,City,No Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,13,184.96,16146.88,25,703.15,No,Yes,No,Not Applicable,Poor Product Quality,4,3,Oct-19
Tara Zieman,21,F,Town,Basic Membership,Not Specified,Credit/Debit Card Offers,Smartphone,Fiber_Optic,12,113.72,44199.83,24,504.59,No,Yes,No,Not Applicable,No reason specified,5,23,20-29
Gilda Mackin,55,F,Town,Silver Membership,Yes,Without Offers,Desktop,Fiber_Optic,17,227.41,60985.9,14,739.39,Yes,No,No,Not Applicable,Products always in Stock,2,22,50-59
Armida Au,26,M,City,Silver Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,21,438.29,32679.43,2,738.77,No,Yes,Yes,Solved,User Friendly Website,2,0,20-29
Hallie Shepherd,60,F,City,Gold Membership,Yes,Without Offers,Desktop,Mobile_Data,0,39.83,19625.21,3,700.14,No,Yes,Yes,Solved,Products always in Stock,2,23,60-69
Mei Zeiler,22,F,Town,No Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,11,61.65,29880.56,6,1042.769798,No,Yes,Yes,Solved in Follow-up,No reason specified,5,7,20-29
Alissa Clyburn,36,F,Town,Platinum Membership,Not Specified,Without Offers,Not Specified,Wi-Fi,14,103.64,3477.93,10,738.83,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,3,7,30-39
Danette Crowther,38,F,Town,Silver Membership,Yes,Without Offers,Smartphone,Wi-Fi,1,525.82,40215.52,12,298.7518251,No,Yes,Yes,Unsolved,Poor Website,4,19,30-39
Houston Vassell,26,F,Village,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,14,101.03,21008.32,26,738.52,Yes,No,Yes,Unsolved,Poor Product Quality,3,14,20-29
Elke Como,45,M,Town,Basic Membership,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,10,738.93,8407.21,25,630,Yes,Yes,No,Not Applicable,Poor Customer Service,4,5,40-49
Sherwood Kuo,17,F,City,Gold Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,23,274.41,45239.61,6,680.12,No,Yes,No,Not Applicable,Poor Website,4,32,Oct-19
Loura Bolles,14,F,City,Premium Membership,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,11,53.31,38448.26,9,311.9418582,No,Yes,Yes,Unsolved,Poor Website,3,16,Oct-19
Ranae Wiltshire,63,F,Town,Platinum Membership,Yes,Credit/Debit Card Offers,Not Specified,Wi-Fi,11,269.41,4914,5,379.92399,Yes,No,Yes,Unsolved,Poor Customer Service,3,15,60-69
Nan Seeger,43,M,Village,Platinum Membership,Yes,Gift Vouchers/Coupons,Both,Mobile_Data,4,1080.6,26120.58,8,969.7960538,No,Yes,Yes,Unsolved,Poor Product Quality,3,18,40-49
Kraig Rakow,59,M,Town,Basic Membership,No,Without Offers,Smartphone,Fiber_Optic,11,135.15,40894.64,18,627.2,Yes,No,Yes,Solved,Poor Product Quality,5,17,50-59
Iliana Oddo,49,M,Town,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,5,195.79,26702.98,27,657.91,No,Yes,No,Not Applicable,Poor Website,5,20,40-49
Shona Milne,41,F,Village,Premium Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,13,61.29,66471.18,2,810.9,Yes,No,No,Not Applicable,Reasonable Price,1,24,40-49
Maudie Fleischer,33,F,Village,Premium Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,14,30.38,53493.9,2,766.25,Yes,No,No,Not Applicable,User Friendly Website,1,2,30-39
Larae Myers,38,F,City,Gold Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,5,32.7,31744.63,24,675.91,Yes,No,No,Not Applicable,Poor Website,4,17,30-39
Mitch Stepney,52,F,Town,Gold Membership,No,Without Offers,Not Specified,Wi-Fi,6,38.36,73970.96,12,746.8,Yes,No,No,Not Applicable,User Friendly Website,2,4,50-59
Ulrike Straughter,47,F,Village,No Membership,No,Credit/Debit Card Offers,Both,Mobile_Data,9,247.55,4459,15,662.49,Yes,No,No,Not Applicable,Poor Website,4,33,40-49
Kathey Hoopes,40,F,City,Premium Membership,Yes,Credit/Debit Card Offers,Not Specified,Fiber_Optic,7,33.37,25442.39,13,703.72,No,Yes,Yes,Solved in Follow-up,Products always in Stock,2,8,40-49
Bridget Oakman,57,F,City,Silver Membership,Yes,Without Offers,Desktop,Fiber_Optic,11,300.46,1186.75,18,697.8,Yes,Yes,Yes,Solved in Follow-up,No reason specified,4,27,50-59
Lavern Andreotti,64,M,Town,Premium Membership,Not Specified,Credit/Debit Card Offers,Desktop,Wi-Fi,3,326.75,8958.31,6,741.1,No,Yes,No,Not Applicable,Products always in Stock,2,4,60-69
Tona Creighton,20,F,Village,Silver Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,17,44.21,13380.19,29,736.45,Yes,No,No,Not Applicable,Poor Product Quality,3,23,20-29
Mechelle Cogdill,22,F,Village,Basic Membership,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,6,173.28,3278.79,17,651.49,Yes,No,No,Not Applicable,No reason specified,4,27,20-29
Alva Ames,62,F,Village,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,3,157.89,29617.03,2.634999795,629.71,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,4,34,60-69
Rosio Wurtz,55,M,City,No Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,7,57.66,5762.85,14,679.1202935,Yes,No,No,Not Applicable,Too many ads,4,21,50-59
Kristeen Conine,34,F,City,No Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,10,187.18,25230.88,9,546.12,No,Yes,Yes,Solved in Follow-up,Poor Website,5,13,30-39
Geraldine Villela,39,M,City,No Membership,Yes,Without Offers,Desktop,Wi-Fi,19,221.18,5443.43,20,943.84397,Yes,No,Yes,Solved,Too many ads,4,22,30-39
Palma Heidenreich,10,M,City,Silver Membership,No,Without Offers,Smartphone,Wi-Fi,19,176.99,12246.3,22,742.75,Yes,No,No,Not Applicable,Poor Website,3,18,Oct-19
Ozella Steffens,18,F,City,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,14,83.13,18390.76,27,712.4,Yes,No,No,Not Applicable,No reason specified,4,3,Oct-19
Rebecka Prigge,41,F,Town,No Membership,No,Credit/Debit Card Offers,Both,Mobile_Data,0,474.36,35752.31,12,716.87,No,Yes,Yes,No Information Available,Poor Website,4,17,40-49
Buster Hoopes,20,M,City,Gold Membership,No,Without Offers,Smartphone,Mobile_Data,1,48.47,30211.58,13,718.66,No,Yes,Yes,Unsolved,Poor Customer Service,3,8,20-29
Yang Piermarini,50,M,Town,Platinum Membership,No,Without Offers,Smartphone,Fiber_Optic,13,217.92,37338.09,18,781.89,Yes,Yes,No,Not Applicable,Quality Customer Care,1,21,50-59
Lorie Samms,18,F,City,Platinum Membership,Not Specified,Gift Vouchers/Coupons,Smartphone,Mobile_Data,17,324.14,8798.84,5,766.44,Yes,No,Yes,No Information Available,Reasonable Price,1,10,Oct-19
Gerri Killam,11,F,City,No Membership,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,13,132.1,42475,16,571.24,No,Yes,Yes,No Information Available,Too many ads,5,34,Oct-19
Gracie Music,16,M,Town,Basic Membership,Not Specified,Without Offers,Smartphone,Wi-Fi,3,305.14,47542.15,18,618.04,Yes,No,No,Not Applicable,Poor Website,5,32,Oct-19
Lakenya Hemmings,26,M,Town,Platinum Membership,Not Specified,Credit/Debit Card Offers,Smartphone,Wi-Fi,17,186.24,41989.35,26,733.62,No,Yes,No,Not Applicable,Poor Customer Service,3,3,20-29
Luciano Izaguirre,57,F,Town,Silver Membership,Not Specified,Gift Vouchers/Coupons,Desktop,Fiber_Optic,15,198.08,55532.97,10,766.11,Yes,No,No,Not Applicable,User Friendly Website,2,1,50-59
Angelyn Wiltse,10,M,Town,Premium Membership,Not Specified,Credit/Debit Card Offers,Desktop,Fiber_Optic,0,48.88,60778.54,5,1265.351967,No,Yes,No,Not Applicable,Quality Customer Care,2,3,Oct-19
Alyson Pio,63,M,Village,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,21,34.48,6818.7,8,708.78,Yes,No,Yes,Solved in Follow-up,Poor Website,4,24,60-69
Danica Motz,28,F,Town,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,0,68.33,20762.84,25,334.7554754,No,Yes,Yes,No Information Available,No reason specified,5,31,20-29
Brinda Roder,26,M,Town,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13,778.33,14465.66,21,1036.659144,No,Yes,Yes,No Information Available,Too many ads,5,34,20-29
Araceli Tann,59,M,Village,Gold Membership,No,Without Offers,Not Specified,Mobile_Data,3,503.02,14506.06,8,705.72,Yes,Yes,Yes,No Information Available,User Friendly Website,2,23,50-59
Xenia Patrick,60,M,Village,Platinum Membership,Yes,Gift Vouchers/Coupons,Not Specified,Fiber_Optic,18,76.76,2352.24,7,791.74,No,Yes,Yes,No Information Available,Too many ads,3,1,60-69
Ranae Simmers,33,M,City,Platinum Membership,Yes,Without Offers,Smartphone,Fiber_Optic,17,32.43,40556.51,7,701.39,Yes,No,Yes,No Information Available,Too many ads,3,35,30-39
Luvenia Lanier,63,M,Town,Gold Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,10,110.92,2821.56,14,880.0843675,Yes,No,Yes,Unsolved,Poor Product Quality,4,5,60-69
Mellissa Musselwhite,51,F,City,Gold Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,18,34.47,48019.68,25,1184.521232,Yes,No,No,Not Applicable,Too many ads,4,23,50-59
America Krawczyk,11,F,City,No Membership,Yes,Without Offers,Smartphone,Mobile_Data,11,163.44,12522.53,14,598.38,Yes,No,No,Not Applicable,No reason specified,5,12,Oct-19
Kayleigh Winton,42,M,Town,Platinum Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13,321.95,70686.61,4,363.6350877,Yes,No,Yes,No Information Available,Products always in Stock,2,13,40-49
Loriann Sturdivant,53,M,City,Platinum Membership,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,11,215.35,38094.27,17,753.38,No,Yes,No,Not Applicable,User Friendly Website,2,33,50-59
Rosetta Resto,41,F,Town,Premium Membership,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,1,733.06,90357.68,4,515.7987196,Yes,No,Yes,Solved,Products always in Stock,1,17,40-49
Lorette Kellen,15,M,Town,Premium Membership,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,1,372.74,1294.64,19,790.18,No,Yes,No,Not Applicable,No reason specified,3,4,Oct-19
Setsuko Rodenberger,52,M,Village,Gold Membership,No,Without Offers,Desktop,Mobile_Data,13,90.59,48548.64,10,647.51,No,Yes,No,Not Applicable,Poor Website,4,9,50-59
